거래일,거래시간,전력거래량
2017-01-01,01:00,60.048854
2017-01-01,02:00,60.198917
2017-01-01,03:00,60.261229
2017-01-01,04:00,60.06061
2017-01-01,05:00,60.13901
2017-01-01,06:00,60.124336
2017-01-01,07:00,60.21585
2017-01-01,08:00,60.287538
2017-01-01,09:00,61.687378
2017-01-01,10:00,62.441275
2017-01-01,11:00,66.475363
2017-01-01,12:00,70.956459
2017-01-01,13:00,72.135944
2017-01-01,14:00,70.713674
2017-01-01,15:00,66.877258
2017-01-01,16:00,61.820848
2017-01-01,17:00,59.173044
2017-01-01,18:00,57.79122
2017-01-01,19:00,57.787258
2017-01-01,20:00,58.147765
2017-01-01,21:00,58.461764
2017-01-01,22:00,58.68227
2017-01-01,23:00,58.774237
2017-01-01,00:00,75.025123
2017-01-02,01:00,118.024216
2017-01-02,02:00,118.615046
2017-01-02,03:00,118.456353
2017-01-02,04:00,118.235369
2017-01-02,05:00,118.232299
2017-01-02,06:00,118.022656
2017-01-02,07:00,117.854236
2017-01-02,08:00,117.704701
2017-01-02,09:00,118.974654
2017-01-02,10:00,122.974413
2017-01-02,11:00,127.056642
2017-01-02,12:00,129.372711
2017-01-02,13:00,123.818709
2017-01-02,14:00,126.206412
2017-01-02,15:00,115.910113
2017-01-02,16:00,114.098112
2017-01-02,17:00,113.716401
2017-01-02,18:00,114.143374
2017-01-02,19:00,114.461982
2017-01-02,20:00,114.591257
2017-01-02,21:00,115.052073
2017-01-02,22:00,115.796794
2017-01-02,23:00,116.150945
2017-01-02,00:00,107.244422
2017-01-03,01:00,59.167616
2017-01-03,02:00,58.413193
2017-01-03,03:00,58.591652
2017-01-03,04:00,58.679621
2017-01-03,05:00,58.864164
2017-01-03,06:00,58.922363
2017-01-03,07:00,58.914122
2017-01-03,08:00,58.820712
2017-01-03,09:00,60.274194
2017-01-03,10:00,64.712594
2017-01-03,11:00,69.502461
2017-01-03,12:00,73.210334
2017-01-03,13:00,74.714743
2017-01-03,14:00,74.553477
2017-01-03,15:00,71.041909
2017-01-03,16:00,65.046494
2017-01-03,17:00,59.642581
2017-01-03,18:00,57.173148
2017-01-03,19:00,57.459064
2017-01-03,20:00,57.704136
2017-01-03,21:00,57.716362
2017-01-03,22:00,58.690457
2017-01-03,23:00,59.22598
2017-01-03,00:00,59.538527
2017-01-04,01:00,59.578728
2017-01-04,02:00,59.731522
2017-01-04,03:00,59.72798
2017-01-04,04:00,59.882219
2017-01-04,05:00,59.786349
2017-01-04,06:00,59.787534
2017-01-04,07:00,59.945599
2017-01-04,08:00,60.054426
2017-01-04,09:00,61.043602
2017-01-04,10:00,64.898644
2017-01-04,11:00,68.150407
2017-01-04,12:00,69.86807
2017-01-04,13:00,70.044592
2017-01-04,14:00,68.395644
2017-01-04,15:00,66.994888
2017-01-04,16:00,62.906426
2017-01-04,17:00,58.856612
2017-01-04,18:00,57.233934
2017-01-04,19:00,57.574597
2017-01-04,20:00,57.85184
2017-01-04,21:00,58.315925
2017-01-04,22:00,58.466401
2017-01-04,23:00,58.770126
2017-01-04,00:00,58.653557
2017-01-05,01:00,58.801966
2017-01-05,02:00,59.019689
2017-01-05,03:00,59.166808
2017-01-05,04:00,59.16133
2017-01-05,05:00,58.992414
2017-01-05,06:00,58.881113
2017-01-05,07:00,58.797488
2017-01-05,08:00,58.702773
2017-01-05,09:00,59.454608
2017-01-05,10:00,61.166852
2017-01-05,11:00,62.134121
2017-01-05,12:00,64.218555
2017-01-05,13:00,64.135098
2017-01-05,14:00,62.371026
2017-01-05,15:00,60.25235
2017-01-05,16:00,58.849954
2017-01-05,17:00,57.115949
2017-01-05,18:00,56.45015
2017-01-05,19:00,56.66151
2017-01-05,20:00,56.784211
2017-01-05,21:00,56.942904
2017-01-05,22:00,57.254276
2017-01-05,23:00,57.425145
2017-01-05,00:00,57.533111
2017-01-06,01:00,57.553752
2017-01-06,02:00,57.685756
2017-01-06,03:00,57.947459
2017-01-06,04:00,57.980358
2017-01-06,05:00,57.84763
2017-01-06,06:00,57.854475
2017-01-06,07:00,57.899287
2017-01-06,08:00,57.992497
2017-01-06,09:00,58.516404
2017-01-06,10:00,68.109626
2017-01-06,11:00,120.410391
2017-01-06,12:00,131.288867
2017-01-06,13:00,131.458247
2017-01-06,14:00,129.894555
2017-01-06,15:00,125.885359
2017-01-06,16:00,120.122258
2017-01-06,17:00,115.100548
2017-01-06,18:00,112.734569
2017-01-06,19:00,113.612052
2017-01-06,20:00,105.375337
2017-01-06,21:00,57.763606
2017-01-06,22:00,57.619498
2017-01-06,23:00,57.937499
2017-01-06,00:00,58.325913
2017-01-07,01:00,58.41313
2017-01-07,02:00,58.498058
2017-01-07,03:00,58.712053
2017-01-07,04:00,58.863419
2017-01-07,05:00,59.051173
2017-01-07,06:00,59.034968
2017-01-07,07:00,58.969021
2017-01-07,08:00,59.024426
2017-01-07,09:00,60.080371
2017-01-07,10:00,62.047911
2017-01-07,11:00,63.641676
2017-01-07,12:00,64.20292
2017-01-07,13:00,64.139291
2017-01-07,14:00,63.491854
2017-01-07,15:00,60.498504
2017-01-07,16:00,58.687517
2017-01-07,17:00,56.933913
2017-01-07,18:00,56.311165
2017-01-07,19:00,56.516264
2017-01-07,20:00,56.513949
2017-01-07,21:00,56.504253
2017-01-07,22:00,56.712267
2017-01-07,23:00,56.599854
2017-01-07,00:00,56.679494
2017-01-08,01:00,56.73347
2017-01-08,02:00,57.272974
2017-01-08,03:00,57.265934
2017-01-08,04:00,57.253147
2017-01-08,05:00,57.027417
2017-01-08,06:00,57.057206
2017-01-08,07:00,57.028249
2017-01-08,08:00,56.991274
2017-01-08,09:00,57.942154
2017-01-08,10:00,59.722491
2017-01-08,11:00,62.190122
2017-01-08,12:00,66.020225
2017-01-08,13:00,69.149865
2017-01-08,14:00,70.824665
2017-01-08,15:00,67.679472
2017-01-08,16:00,61.903983
2017-01-08,17:00,57.344688
2017-01-08,18:00,56.565648
2017-01-08,19:00,56.591287
2017-01-08,20:00,56.757622
2017-01-08,21:00,56.884146
2017-01-08,22:00,56.919918
2017-01-08,23:00,57.016037
2017-01-08,00:00,57.001314
2017-01-09,01:00,56.836267
2017-01-09,02:00,57.089991
2017-01-09,03:00,57.270492
2017-01-09,04:00,57.648332
2017-01-09,05:00,57.693771
2017-01-09,06:00,57.632813
2017-01-09,07:00,57.679305
2017-01-09,08:00,57.632573
2017-01-09,09:00,57.627162
2017-01-09,10:00,58.539061
2017-01-09,11:00,60.039777
2017-01-09,12:00,68.021029
2017-01-09,13:00,69.804093
2017-01-09,14:00,74.443132
2017-01-09,15:00,71.892009
2017-01-09,16:00,66.230101
2017-01-09,17:00,60.597428
2017-01-09,18:00,57.932543
2017-01-09,19:00,57.891981
2017-01-09,20:00,58.015118
2017-01-09,21:00,58.156305
2017-01-09,22:00,58.398168
2017-01-09,23:00,58.854719
2017-01-09,00:00,58.973293
2017-01-10,01:00,58.905018
2017-01-10,02:00,59.223581
2017-01-10,03:00,59.283312
2017-01-10,04:00,59.099488
2017-01-10,05:00,59.060159
2017-01-10,06:00,58.853224
