Ё╞б╔,╫ц╟ё,аЖ©╙,©╛╥А©Ь,юЭ╥б╟е╥║╥╝(MWh)
2020-01-01,1,╠╓аж╫ц,еб╬Г╠╓,0.00312
2020-01-01,2,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,3,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,4,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,5,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,6,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,7,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,8,╠╓аж╫ц,еб╬Г╠╓,0.024782
2020-01-01,9,╠╓аж╫ц,еб╬Г╠╓,2.793274
2020-01-01,10,╠╓аж╫ц,еб╬Г╠╓,8.886056
2020-01-01,11,╠╓аж╫ц,еб╬Г╠╓,12.679021
2020-01-01,12,╠╓аж╫ц,еб╬Г╠╓,12.862381
2020-01-01,13,╠╓аж╫ц,еб╬Г╠╓,13.458181
2020-01-01,14,╠╓аж╫ц,еб╬Г╠╓,13.35317
2020-01-01,15,╠╓аж╫ц,еб╬Г╠╓,16.14445
2020-01-01,16,╠╓аж╫ц,еб╬Г╠╓,11.918327
2020-01-01,17,╠╓аж╫ц,еб╬Г╠╓,4.808239
2020-01-01,18,╠╓аж╫ц,еб╬Г╠╓,1.711531
2020-01-01,19,╠╓аж╫ц,еб╬Г╠╓,1.71862
2020-01-01,20,╠╓аж╫ц,еб╬Г╠╓,0.6688
2020-01-01,21,╠╓аж╫ц,еб╬Г╠╓,0.28152
2020-01-01,22,╠╓аж╫ц,еб╬Г╠╓,0.0912
2020-01-01,23,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-01,0,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,1,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,2,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,3,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,4,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,5,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,6,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,7,╠╓аж╫ц,еб╬Г╠╓,0
2020-01-02,8,╠╓аж╫ц,еб╬Г╠╓,0.030422
2020-01-02,9,╠╓аж╫ц,еб╬Г╠╓,3.111954
2020-01-02,10,╠╓аж╫ц,еб╬Г╠╓,11.612901
2020-01-02,11,╠╓аж╫ц,еб╬Г╠╓,19.511522
2020-01-02,12,╠╓аж╫ц,еб╬Г╠╓,23.693528
2020-01-02,13,╠╓аж╫ц,еб╬Г╠╓,27.608212
